user_id,name,role,phone,created_at,status
1,王小明,Member,0912-345-678,2024-09-01 10:00:00,Active
2,陳大華,Member,0923-456-789,2024-09-02 14:20:00,Active
3,李美玲,Member,0934-567-890,2024-09-03 16:45:00,Active
4,張志明,Admin,0945-678-901,2024-09-01 09:15:00,Active
5,林大雄,Member,0956-789-012,2024-09-04 11:00:00,Active
6,黃小芬,Member,0967-890-123,2024-09-05 08:30:00,Active
7,劉雅婷,Member,0978-901-234,2024-09-06 13:20:00,Active
8,吳心理師,Member,0989-012-345,2024-09-07 16:50:00,Active
9,花蓮縣政府,Admin,03-8227171,2024-09-01 08:00:00,Active
10,花蓮慈濟醫院,Admin,03-8561825,2024-09-01 08:00:00,Active
11,水利署第九河川局,Admin,03-8340096,2024-09-01 08:00:00,Active
12,台電花蓮區處,Admin,03-8323131,2024-09-01 08:00:00,Active
13,花蓮縣消防局,Admin,03-8227171,2024-09-01 08:00:00,Active
14,花蓮縣衛生局,Admin,03-8227141,2024-09-01 08:00:00,Active
15,馬太鞍社區發展協會,Member,03-8701234,2024-09-08 10:00:00,Active
16,富里鄉公所,Admin,03-8831111,2024-09-01 08:00:00,Active
17,玉里鎮公所,Admin,03-8882171,2024-09-01 08:00:00,Active
18,紅葉社區發展協會,Member,03-8871234,2024-09-09 15:00:00,Active
19,鳳林鎮衛生所,Admin,03-8762121,2024-09-01 08:00:00,Active
20,玉里醫院,Admin,03-8886141,2024-09-01 08:00:00,Active
21,光復國小,Member,03-8701234,2024-09-10 09:00:00,Active
22,台電玉里服務所,Admin,03-8882345,2024-09-01 08:00:00,Active
23,花蓮縣新住民中心,Admin,03-8223123,2024-09-01 08:00:00,Active
24,花蓮縣長照中心,Admin,03-8222999,2024-09-01 08:00:00,Active
25,花蓮縣動物防疫所,Admin,03-8227431,2024-09-01 08:00:00,Active
26,卓溪鄉公所,Admin,03-8841129,2024-09-01 08:00:00,Active
27,光復鄉公所,Admin,03-8701234,2024-09-01 08:00:00,Active
28,花蓮縣環保局,Admin,03-8221500,2024-09-01 08:00:00,Active
29,花蓮縣社會處,Admin,03-8227171,2024-09-01 08:00:00,Active
30,花蓮律師公會,Member,03-8225678,2024-09-11 10:00:00,Active
31,陳志強醫師,Member,0912-876-543,2024-09-12 17:00:00,Active
32,李建國獸醫師,Member,0934-789-012,2024-09-13 19:00:00,Active
33,王大廚,Member,0945-123-456,2024-09-14 21:00:00,Active
34,金順機車行,Member,03-8701678,2024-09-15 13:00:00,Active
35,張律師,Member,03-8225890,2024-09-16 22:00:00,Active
36,阮氏紅,Member,0923-567-890,2024-09-17 15:30:00,Active
37,統一超商,Member,03-8831234,2024-09-18 11:20:00,Active
38,全家便利商店,Member,03-8831567,2024-09-19 14:30:00,Active
39,家樂福富里店,Member,03-8831890,2024-09-20 16:00:00,Active
40,興旺五金行,Member,03-8882456,2024-09-21 12:00:00,Active
41,玉里農會,Member,03-8882789,2024-09-22 09:30:00,Active
42,紅葉國中,Member,03-8871567,2024-09-23 15:00:00,Active
43,瑞穗慈濟宮,Member,03-8871890,2024-09-24 10:00:00,Active
44,花蓮縣二手衣物銀行,Member,03-8227890,2024-09-25 18:00:00,Active
45,慈濟基金會,Member,03-8561825,2024-09-26 08:00:00,Active
46,花蓮縣志工協會,Member,03-8701567,2024-09-27 11:00:00,Active
47,光復鄉婦女會,Member,03-8701890,2024-09-28 14:00:00,Active
48,花蓮縣青年志工團,Member,03-8841567,2024-09-29 20:00:00,Active
49,玉里鎮社區關懷協會,Member,03-8841890,2024-09-30 09:00:00,Active
50,花蓮縣救難協會,Member,03-8334455,2024-10-01 17:30:00,Active
51,陳文華,Member,0911-234-567,2024-10-02 08:00:00,Active
52,林淑芬,Member,0922-345-678,2024-10-02 09:30:00,Active
53,黃建宏,Member,0933-456-789,2024-10-02 11:00:00,Active
54,張美玲,Member,0944-567-890,2024-10-02 14:20:00,Active
55,王國強,Member,0955-678-901,2024-10-02 16:00:00,Active
56,李雅芳,Member,0966-789-012,2024-10-03 08:30:00,Active
